ordem,titulo,descricao,concluida,dataInclusao
1,Titulo A,mongodb,false,01/01/2018
2,Titulo B,nodejs,false,02/01/2018
3,Titulo B,native script,true,03/01/2018
4,Titulo C,angularjs,true,04/01/2018
5,Titulo D,react,false,05/01/2018
6,Titulo D,react native,false,06/01/2018
7,Titulo D,javascript,true,07/01/2018
8,Titulo E,chocolate,true,08/01/2018
9,Titulo F,vuejs,false,09/01/2018
10,Titulo G,jquery,false,10/01/2018
11,Titulo H,bootstrap,true,11/01/2018
12,Titulo J,backbone,true,12/01/2018
13,Titulo K,html,false,13/01/2018
14,Titulo I,css,true,14/01/2018
15,Titulo H,es6,false,15/01/2018
